Year,Weekday,Women,Men
1993,Fri,1,5
1994,Fri,2,50
1995,Fri,4,48
1996,Fri,1,51
1997,Fri,2,50
1998,Fri,3,49
1999,Fri,8,45
2000,Fri,7,45
2001,Fri,10,42
2002,Fri,8,44
2003,Fri,11,41
2004,Fri,9,44
2005,Fri,7,45
2006,Fri,7,45
2007,Fri,9,43
2008,Fri,1,51
2009,Fri,7,45
2010,Fri,4,49
2011,Fri,3,49
2012,Fri,2,50
2013,Fri,4,48
2014,Fri,3,49
2015,Fri,4,48
2016,Fri,9,44
2017,Fri,7,45
2018,Fri,8,40
1993,Mon,1,5
1994,Mon,10,42
1995,Mon,10,42
1996,Mon,20,33
1997,Mon,17,35
1998,Mon,12,40
1999,Mon,17,35
2000,Mon,17,35
2001,Mon,27,26
2002,Mon,11,41
2003,Mon,22,30
2004,Mon,14,38
2005,Mon,22,30
2006,Mon,19,33
2007,Mon,21,32
2008,Mon,26,26
2009,Mon,20,32
2010,Mon,21,31
2011,Mon,14,38
2012,Mon,22,31
2013,Mon,17,35
2014,Mon,18,34
2015,Mon,18,34
2016,Mon,16,36
2017,Mon,11,41
2018,Mon,17,31
1993,Sat,0,5
1994,Sat,1,52
1995,Sat,6,46
1996,Sat,3,49
1997,Sat,2,50
1998,Sat,2,50
1999,Sat,2,50
2000,Sat,4,49
2001,Sat,4,48
2002,Sat,9,43
2003,Sat,5,47
2004,Sat,5,47
2005,Sat,8,45
2006,Sat,2,50
2007,Sat,8,44
2008,Sat,11,41
2009,Sat,7,45
2010,Sat,4,48
2011,Sat,0,53
2012,Sat,2,50
2013,Sat,0,52
2014,Sat,1,51
2015,Sat,0,52
2016,Sat,6,47
2017,Sat,4,48
2018,Sat,0,48
1993,Sun,2,4
1994,Sun,14,38
1995,Sun,15,38
1996,Sun,14,38
1997,Sun,17,35
1998,Sun,14,38
1999,Sun,18,34
2000,Sun,19,34
2001,Sun,18,34
2002,Sun,15,37
2003,Sun,17,35
2004,Sun,12,40
2005,Sun,8,44
2006,Sun,7,46
2007,Sun,12,40
2008,Sun,12,40
2009,Sun,9,43
2010,Sun,10,42
2011,Sun,15,37
2012,Sun,7,46
2013,Sun,11,41
2014,Sun,5,47
2015,Sun,11,41
2016,Sun,7,45
2017,Sun,9,44
2018,Sun,6,41
1993,Thu,3,3
1994,Thu,7,45
1995,Thu,11,41
1996,Thu,14,38
1997,Thu,14,38
1998,Thu,18,35
1999,Thu,10,42
2000,Thu,9,43
2001,Thu,12,40
2002,Thu,12,40
2003,Thu,14,38
2004,Thu,12,41
2005,Thu,8,44
2006,Thu,8,44
2007,Thu,10,42
2008,Thu,5,47
2009,Thu,9,44
2010,Thu,4,48
2011,Thu,5,47
2012,Thu,7,45
2013,Thu,4,48
2014,Thu,8,44
2015,Thu,6,47
2016,Thu,8,44
2017,Thu,3,49
2018,Thu,6,42
1993,Tue,2,4
1994,Tue,11,41
1995,Tue,9,43
1996,Tue,17,36
1997,Tue,19,33
1998,Tue,18,34
1999,Tue,24,28
2000,Tue,15,37
2001,Tue,16,36
2002,Tue,19,34
2003,Tue,18,34
2004,Tue,20,32
2005,Tue,26,26
2006,Tue,14,38
2007,Tue,18,34
2008,Tue,17,36
2009,Tue,12,40
2010,Tue,18,34
2011,Tue,13,39
2012,Tue,12,40
2013,Tue,11,42
2014,Tue,10,42
2015,Tue,8,44
2016,Tue,15,37
2017,Tue,10,42
2018,Tue,8,40
1993,Wed,2,4
1994,Wed,9,43
1995,Wed,13,39
1996,Wed,12,40
1997,Wed,10,43
1998,Wed,16,36
1999,Wed,15,37
2000,Wed,9,43
2001,Wed,9,43
2002,Wed,12,40
2003,Wed,11,42
2004,Wed,11,41
2005,Wed,8,44
2006,Wed,19,33
2007,Wed,14,38
2008,Wed,6,47
2009,Wed,9,43
2010,Wed,7,45
2011,Wed,7,45
2012,Wed,10,42
2013,Wed,10,42
2014,Wed,11,42
2015,Wed,9,43
2016,Wed,3,49
2017,Wed,5,47
2018,Wed,8,40
